application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit
2,Male,False,3.28,Humanities,Black,680.0,5.0,Investment Management,Not Admit
3,Female,True,3.3,Business,,710.0,5.0,Technology,Admit
4,Male,False,3.47,STEM,Black,690.0,6.0,Technology,Not Admit
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,Not Admit
6,Male,False,3.18,Business,White,610.0,6.0,Consulting,Not Admit
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit
8,Male,True,3.02,Business,,630.0,6.0,Financial Services,Not Admit
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,Not Admit
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,Not Admit
11,Male,False,3.05,Humanities,White,580.0,5.0,Technology,Not Admit
12,Male,True,2.85,Humanities,,580.0,4.0,PE/VC,Not Admit
13,Female,False,3.24,Humanities,Hispanic,640.0,6.0,PE/VC,Waitlist
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,Not Admit
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit
16,Female,True,3.05,Humanities,,710.0,4.0,Consulting,Admit
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,Admit
18,Male,False,3.23,Humanities,Black,700.0,4.0,Health Care,Not Admit
19,Male,False,3.13,Humanities,White,630.0,6.0,Financial Services,Not Admit
20,Male,True,3.09,Business,,670.0,8.0,Consulting,Not Admit
21,Male,False,3.46,Business,White,760.0,5.0,Investment Banking,Admit
22,Female,False,3.64,Humanities,Black,710.0,6.0,Financial Services,Not Admit
23,Female,True,3.42,Business,,640.0,6.0,Consulting,Admit
24,Male,False,3.4,Business,White,680.0,6.0,PE/VC,Not Admit
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,Admit
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit
27,Male,True,2.99,STEM,,640.0,5.0,Consulting,Not Admit
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,Not Admit
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,Not Admit
30,Male,True,3.65,STEM,,700.0,5.0,Consulting,Admit
31,Male,True,3.04,STEM,,610.0,4.0,Consulting,Not Admit
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,Not Admit
33,Male,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,Not Admit
34,Female,False,3.53,STEM,White,710.0,5.0,Consulting,Admit
35,Male,False,3.5,Business,White,650.0,7.0,Consulting,Not Admit
36,Male,True,3.22,Humanities,,670.0,4.0,Other,Not Admit
37,Male,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,Not Admit
38,Female,False,3.16,STEM,Black,590.0,4.0,Investment Management,Not Admit
39,Female,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit
41,Female,True,3.12,Business,,610.0,4.0,PE/VC,Admit
42,Female,True,3.41,Business,,600.0,7.0,Nonprofit/Gov,Admit
43,Male,False,3.38,Humanities,Asian,720.0,5.0,Consulting,Not Admit
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,Not Admit
46,Male,False,3.32,STEM,Asian,730.0,4.0,Health Care,Not Admit
47,Male,True,3.13,Humanities,,610.0,5.0,PE/VC,Not Admit
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit
49,Male,False,3.23,STEM,Black,660.0,6.0,Other,Not Admit
